country,average salary local currency,central_Personal allowance,central_Tax credit,central_Surtax rate,central_01 Marginal rate,central_  01 Threshold,central_02 Marginal rate,central_  02 Threshold,central_03 Marginal rate,central_  03 Threshold,central_04 Marginal rate,central_  04 Threshold,central_05 Marginal rate,central_  05 Threshold,central_06 Marginal rate,central_  06 Threshold,central_07 Marginal rate,central_  07 Threshold,central_08 Marginal rate,central_  08 Threshold,central_09 Marginal rate,central_  09 Threshold,central_10 Marginal rate,central_  10 Threshold,central_11 Marginal rate,central_  11 Threshold,central_12 Marginal rate,central_  12 Threshold,central_13 Marginal rate,central_  13 Threshold,central_14 Marginal rate,central_  14 Threshold,central_15 Marginal rate,central_  15 Threshold,central_16 Marginal rate,central_  16 Threshold,central_17 Marginal rate,central_  17 Threshold,central_18 Marginal rate,central_  18 Threshold,central_19 Marginal rate,central_  19 Threshold,sub_non_prog_allowance,sub_non_prog_rate,sub_prog_01 Marginal rate,sub_prog_  01 Threshold,sub_prog_02 Marginal rate,sub_prog_  02 Threshold,sub_prog_03 Marginal rate,sub_prog_  03 Threshold,sub_prog_04 Marginal rate,sub_prog_  04 Threshold,sub_prog_05 Marginal rate,sub_prog_  05 Threshold,sub_prog_06 Marginal rate,sub_prog_  06 Threshold,sub_prog_07 Marginal rate,sub_prog_  07 Threshold,sub_prog_08 Marginal rate,sub_prog_  08 Threshold,sub_prog_09 Marginal rate,sub_prog_  09 Threshold,sub_prog_10 Marginal rate,sub_prog_  10 Threshold,sub_prog_11 Marginal rate,sub_prog_  11 Threshold,sub_prog_12 Marginal rate,sub_prog_  12 Threshold,sub_prog_13 Marginal rate,sub_prog_  13 Threshold,employer_SS_Tax Base (fraction of year),employer_SS_Lump sum charge,employer_SS_01 Marginal rate,employer_SS_  01 Lower threshold,employer_SS_  01 Upper threshold,employer_SS_02 Marginal rate,employer_SS_  02 Lower threshold,employer_SS_  02 Upper threshold,employer_SS_03 Marginal rate,employer_SS_  03 Lower threshold,employer_SS_  03 Upper threshold,employer_SS_04 Marginal rate,employer_SS_  04 Lower threshold,employer_SS_  04 upper threshold,employee_SS_Tax Base (fraction of year),employee_SS_01 Marginal rate,employee_SS_  01 Lower threshold,employee_SS_  01 Upper threshold,employee_SS_02 Marginal rate,employee_SS_  02 Lower threshold,employee_SS_  02 Upper threshold,employee_SS_03 Marginal rate,employee_SS_  03 Lower threshold,employee_SS_  03 Upper threshold,employee_SS_04 Marginal rate,employee_SS_  04 Lower threshold,employee_SS_  04 Upper threshold,employee_SS_05 Marginal rate,employee_SS_  05 Lower threshold,employee_SS_  05 Upper threshold,income tax personal allowance taper threshold,taper rate
Mexico,179975.85,3909.6,4884.24,,1.92,6942.21,6.4,58922.17,10.88,103550.45,16,120372.84,17.92,144119.24,21.36,290667.76,23.52,458132.3,30,874650.01,32,1166200.01,34,3498600.01,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,539.09,6.53,0,7927.8,7.63,7927.8,66065,,,,,,,12,1.25,0,7927.8,1.65,7927.8,66065,,,,,,,,,,,
Netherlands,50172.62,,2711,,9.7,34712,37.35,68507,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12.74,0,57232,,,,,,,,,,1,27.65,0,34712,,,,,,,,,,,,,,
New Zealand,72772.82,,,,10.5,14000,17.5,48000,30,70000,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,592674.97,155750,,,8.45,180800,8.64,254500,12.65,639750,21.65,999550,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,0,,,,,,,,,,,1,8.2,54650,,,,,,,,,,,,,,,
Poland,62809.93,3000,1360,,17,85528,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13.88,0,156810,1.27,156810,,,,,,,,1,7.61,0,156810,2.45,156810,,,,,,,,,,,,
Portugal,18509.34,,,2.5,14.5,7112,23,10732,28.5,20322,35,25075,37,36967,45,80882,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,23.75,0,,,,,,,,,,,12,11,0,,,,,,,,,,,,,,,
Slovak Republic,15274.62,4414.2,,,19,37163.36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,19.4,580,7091,,,,,,,,,,12,9.4,580,7091,,,,,,,,,,,,,,
Slovenia,26269.07,3500,,,16,8500,26,25000,33,50000,39,72000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,16.1,0,,,,,,,,,,,12,22.1,0,,,,,,,,,,,,,,,
Spain,26536.63,5550,,,9.5,12450,12,20200,15,35200,18.5,60000,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12450,11.2,17707,13.3,33007,17.9,53407,21,,,,,,,,,,,,,,,,,,1,,29.9,12600,48841.2,,,,,,,,,,1,6.35,12600,48841.2,,,,,,,,,,,,,,
Sweden,449059.27,13900,,,0,509300,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,31.42,0,,,,,,,,,,,1,7,20007.9,539076,,,,,,,,,,,,,,
Switzerland,86899.87,,,,0,14500,0.77,31600,0.88,41400,2.64,55200,2.97,72500,5.94,78100,6.6,103600,8.8,134600,11,176000,13.2,755200,11.5,,,,,,,,,,,,,,,,,,,,0,6700,2,11400,3,16100,4,23700,5,33000,6,43700,7,56100,8,73000,9,105500,10,137700,11,188700,12,254900,13,,1,,6.38,0,148200,5.28,148200,,,,,,,,1,6.38,0,148200,5.78,148200,,,,,,,,,,,,
UK - old,36987,12570,,,20,37500,40,150000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,15.1,732.3,,,,,,,,,,,52,13.25,182.69,961.54,3.25,961.54,,,,,,,,,,,100000,50
UK - after mini Budget,36987,12570,,,19,37700,40,150000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,13.8,732.3,,,,,,,,,,,52,12,182.69,961.54,2,961.54,,,,,,,,,,,100000,50
United States,69391.81,12550,,,10,9875,12,40125,22,85525,24,163300,32,207350,35,518400,37,,,,,,,,,,,,,,,,,,,,,,,,,,4750,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8.25,0,7000,7.65,7000,137700,1.45,137700,200000,2.35,200000,,1,7.65,0,137700,1.45,137700,,,,,,,,,,,,
